2025	4078
2025	4055
2024	6614
2024	227
2024	6524
2023	481
2023	1724
2022	514
2022	187
2022	356
2022	1785
2022	1597
2022	3348
2021	1346
2021	1409
2021	2886
2020	3960
2020	1700
2020	392
2020	846
2020	6432
2019	1155
2019	4194
2018	1846
2018	1667
2018	906
2017	687
2017	1429
2017	3024
2017	1903
2016	892
2016	539
2016	574
2016	784
2016	468
2016	1497
2015	1786
2015	5049
2014	387
2014	98
2014	193
2014	2049
2014	3054
2013	3087
2013	1201
2013	1415
2012	772
2012	710
2011	1935
2011	459
2011	1934
2011	557
2010	874
2010	77
2010	758
2010	176
2010	340
2010	88
2010	3177
2009	157
2009	335
2009	85
2009	2189
2009	1150
2009	870
2008	159
2008	175
2008	2310
2008	589
2008	84
2008	648
2008	2356
2007	1092
2007	85
2007	429
2007	1790
2006	1547
2006	95
2006	1074
2005	2056
2005	89
2005	2302
2005	1369
2004	153
2004	1721
2004	760
2004	84
2004	186
2003	5093
2003	130
2003	550
2002	2971
2002	61
2002	668
2001	1152
2001	98
2001	382
2001	798
2001	858
2000	383
2000	50
2000	50
2000	400
2000	225
2000	658
1999	1059
1999	36
1999	723
1998	175
1998	363
1998	48
1998	48
